"CRICKET FIELDING ANALYSIS — MI vs CSK | IPL 2023 | Wankhede Stadium, Mumbai",,,,,,,,,,,,
Innings: 1st Innings  |  Team Fielding: Mumbai Indians  |  Venue: Wankhede Stadium  |  Date: 20 May 2023,,,,,,,,,,,,
Match No.,Innings,Team,Player Name,Ball Count,Over No.,Position,Short Description,"Pick
(CP/GT/F/BT/C/DC)","Throw
(RO/MRO/ST/MST/DH)","Runs
Saved (+) / Conceded (-)",Venue,Notes
1,1,Mumbai Indians,Hardik Pandya,5,5,Square leg,"Clean pick, batsmen took only 1",Clean Pick,,1,Wankhede,
1,1,Mumbai Indians,Rohit Sharma,2,6,Backward point,Fumble allowed extra run to be taken,Fumble,,-1,Wankhede,
1,1,Mumbai Indians,Suryakumar Yadav,6,6,Long-on,Caught near the boundary — superb catch,Catch,,4,Wankhede,Running catch
1,1,Mumbai Indians,Hardik Pandya,4,6,Fine leg,Good throw in after boundary fielding,Good Throw,,1,Wankhede,
1,1,Mumbai Indians,Rohit Sharma,1,7,Mid-on,Clean pick and accurate throw — 1 run only,Clean Pick,,1,Wankhede,
1,1,Mumbai Indians,Suryakumar Yadav,3,7,Point,"Slid to stop a rasping cut, clean pick",Clean Pick,,1,Wankhede,
1,1,Mumbai Indians,Hardik Pandya,5,7,Mid-wicket,Direct hit attempt — RUN OUT! Batsman caught short,,Run Out,4,Wankhede,Clinical direct hit
1,1,Mumbai Indians,Rohit Sharma,2,8,Cover,"Good throw from the deep, saved a run",Good Throw,,1,Wankhede,
1,1,Mumbai Indians,Suryakumar Yadav,4,8,Gully,Sharp reflex catch off an inside edge,Catch,,4,Wankhede,
1,1,Mumbai Indians,Hardik Pandya,6,8,Long-off,"Clean pick at deep, strong flat throw",Clean Pick,,1,Wankhede,
1,1,Mumbai Indians,Rohit Sharma,1,9,Mid-off,Fumble on a firm drive — gave 2 runs,Fumble,,-2,Wankhede,
1,1,Mumbai Indians,Suryakumar Yadav,3,9,Extra cover,"Good throw in from deep, kept to 1 run",Good Throw,,1,Wankhede,
1,1,Mumbai Indians,Hardik Pandya,5,9,Fine leg,Clean pick and accurate throw to keeper,Clean Pick,,1,Wankhede,
1,1,Mumbai Indians,Rohit Sharma,2,10,Slip,Excellent low catch to dismiss set batsman,Catch,,4,Wankhede,Key wicket
1,1,Mumbai Indians,Suryakumar Yadav,4,10,Deep cover,Good throw — stopped batsmen taking 2nd,Good Throw,,1,Wankhede,
1,1,Mumbai Indians,Hardik Pandya,6,10,Mid-on,Missed a sharp chance — dropped catch,Drop Catch,,-4,Wankhede,"Batsman on 22, expensive drop"
1,1,Mumbai Indians,Rohit Sharma,1,11,Point,Direct hit attempt — Missed run out,,Missed Run Out,-1,Wankhede,
1,1,Mumbai Indians,Suryakumar Yadav,3,11,Square leg,"Clean pick, flat throw — 1 run only",Clean Pick,,1,Wankhede,
1,1,Mumbai Indians,Hardik Pandya,5,11,Long-on,Good throw from boundary kept run rate down,Good Throw,,1,Wankhede,
1,1,Mumbai Indians,Rohit Sharma,2,12,Gully,Dropped an edge — expensive drop,Drop Catch,,-4,Wankhede,Batsman scored 18 more
1,1,Mumbai Indians,Suryakumar Yadav,4,12,Cover,Direct hit — RUN OUT! Brilliant fielding,,Direct Hit,4,Wankhede,Second direct hit of innings
1,1,Mumbai Indians,Hardik Pandya,6,12,Deep mid-wicket,"Clean pick, stopped the boundary",Clean Pick,,1,Wankhede,
1,1,Mumbai Indians,Rohit Sharma,1,13,Mid-off,Good throw — batsmen attempted 2 but got 1,Good Throw,,1,Wankhede,
1,1,Mumbai Indians,Suryakumar Yadav,3,13,Deep point,"Long barrier stop, good throw in",Good Throw,,1,Wankhede,
1,1,Mumbai Indians,Hardik Pandya,5,13,Square leg,"Run out — backed up too far, direct hit",,Run Out,4,Wankhede,Crucial wicket in death overs
1,1,Mumbai Indians,Rohit Sharma,2,14,Cover,"Clean pick, stopped in one — solid fielding",Clean Pick,,1,Wankhede,
